Designator,Mid X,Mid Y,Layer,Rotation
C1,148.9,-105.1,bottom,180
C2,134.8,-97.9,bottom,180
R1,142.6,-119.4,bottom,90
R2,112,-105.1,bottom,180
R3,161.75,-103.75,bottom,180
R4,173.5,-103.75,bottom,180
