Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R20,10k,R_0402_1005Metric,130.1,-123.15,0,top
R21,10k,R_0402_1005Metric,149.65,-103.25,0,top
R22,33,R_0402_1005Metric,149.45,-131,0,top
R23,33,R_0402_1005Metric,150.15,-129,0,top
R24,1k,R_0402_1005Metric,116.3,-113.1,180,top
R25,1k,R_0402_1005Metric,116.3,-114.2,180,top
R26,1k,R_0402_1005Metric,116.3,-115.3,180,top
R27,1k,R_0402_1005Metric,116.29,-116.4,180,top
R28,1k,R_0402_1005Metric,116.3,-117.5,180,top
R29,1k,R_0402_1005Metric,116.3,-118.6,180,top
R30,1k,R_0402_1005Metric,116.3,-119.8,180,top
R32,1k,R_0402_1005Metric,158.35,-99.4035,90,top
R33,1k,R_0402_1005Metric,159.45,-99.4135,90,top
R34,1k,R_0402_1005Metric,160.55,-99.4035,90,top
R35,1k,R_0402_1005Metric,161.75,-99.4235,90,top
R36,1k,R_0402_1005Metric,168.5,-101.3035,90,top
R37,1k,R_0402_1005Metric,167.45,-101.3035,90,top
R38,1k,R_0402_1005Metric,166.4,-101.3035,90,top
R40,10k,R_0805_2012Metric,144.41,-153.55625,-90,top
R41,10k,R_0805_2012Metric,159.993333,-141.633333,-90,top
R42,10k,R_0805_2012Metric,152.393333,-141.633333,-90,top
R43,10k,R_0805_2012Metric,149.143333,-142.483333,0,top
R44,5.1k,R_0603_1608Metric,122.73,-150.78,0,top
R45,5.1k,R_0603_1608Metric,118.08,-150.78,180,top
R46,20k,R_0603_1608Metric,127.725,-150.55,0,top
R47,10k,R_0805_2012Metric,131.9625,-150.6,0,top
R48,200,R_0402_1005Metric,132.6,-134.15,0,top
R49,33,R_0402_1005Metric,149.45,-130,0,top
R50,33,R_0402_1005Metric,149.083333,-127.9,0,top
R51,33,R_0402_1005Metric,149.083333,-126.883333,0,top
R52,1k,R_0402_1005Metric,166.35,-107.6035,-90,top
SW1,MS-22D28-G020,SW-SMD_MS-22D28-G020,89.8,-156.8,-90,top
SW2,MS-22D28-G020,SW-SMD_MS-22D28-G020,144.9,-105.5,0,top
SW3,MS-22D28-G020,SW-SMD_MS-22D28-G020,189.6,-104.891,0,top
SW4,TS-1088-AR02016,SW_SPST_TS-1088-xR020,142,-157.71625,180,top
SW5,MS-22D28-G020,SW-SMD_MS-22D28-G020,131.3,-157.05,-90,top
